id,name,bic,l10n_id_bi_code
res_bank_1130348,PT. BANK PEMBANGUNAN DAERAH JAWA TENGAH,PDJGIDJ1,1130348
res_bank_1220012,PT. BANK PEMBANGUNAN DAERAH KALSEL,PDKSIDJ1,1220012
res_bank_1229929,PT. BANK PEMBANGUNAN DAERAH KALSEL - UNIT USAHA SY,SYKSIDJ1,1229929
res_bank_1240018,PT. BANK PEMBANGUNAN DAERAH KALTIM DAN KALTARA,PDKTIDJ1,1240018
res_bank_1280010,PT. BANK PEMBANGUNAN DAERAH NUSA TENGGARAT BARAT S,PDNBIDJ1,1280010
res_bank_1190016,PT. BANK PEMBANGUNAN DAERAH RIAU KEPRI SYARIAH (PE,PDRIIDJA,1190016
res_bank_1170010,PT. BANK PEMBANGUNAN DAERAH SUMUT,PDSUIDJ1,1170010
res_bank_1179927,PT. BANK PEMBANGUNAN DAERAH SUMUT UUS,SYSUIDJ1,1179927
res_bank_0130475,"PT. BANK PERMATA,TBK",BBBAIDJA,0130475
res_bank_0139926,"PT. BANK PERMATA,TBK UNIT USAHA SYARIAH",SYBBIDJ1,0139926
res_bank_1670015,"PT. BANK QNB INDONESIA,TBK",AWANIDJA,1670015
res_bank_0020307,PT. BANK RAKYAT INDONESIA (PERSERO),BRINIDJA,0020307
res_bank_4940014,"PT. BANK RAYA INDONESIA, TBK",AGTBIDJA,4940014
res_bank_0470300,PT. BANK RESONA PERDANIA,BPIAIDJA,0470300
res_bank_5230011,PT. BANK SAHABAT SAMPOERNA,SAHMIDJA,5230011
res_bank_4980016,PT. BANK SBI INDONESIA,SBIDIDJA,4980016
res_bank_5350014,PT. BANK SEABANK INDONESIA,SSPIIDJA,5350014
res_bank_1520013,PT. BANK SHINHAN INDONESIA,MEEKIDJ1,1520013
res_bank_1530016,PT. BANK SINARMAS,SBJKIDJA,1530016
res_bank_1539923,PT. BANK SINARMAS UNIT USAHA SYARIAH,SYTBIDJ1,1539923
res_bank_2130101,PT. Bank SMBC Indonesia Tbk,SUNIIDJA,2130101
res_bank_1260027,PT. BANK SULSELBAR,PDWSIDJA,1260027
res_bank_1269947,PT. BANK SULSELBAR UNIT USAHA SYARIAH,SYWSIDJ1,1269947
res_bank_4510017,PT. BANK SYARIAH INDONESIA Tbk.,BSMDIDJA,4510017
res_bank_4050072,PT. BANK SYARIAH NASIONAL,SWAGIDJ1,4050072
res_bank_2000150,PT. BANK TABUNGAN NEGARA (PERSERO),BTANIDJA,2000150
res_bank_0230016,PT. BANK UOB INDONESIA,BBIJIDJA,0230016
res_bank_5660018,PT. BANK VICTORIA INTERNATIONAL,VICTIDJ1,5660018
res_bank_2120027,"PT. BANK WOORI SAUDARA INDONESIA 1906,TBK",BSDRIDJA,2120027
res_bank_1330012,PT. BPD BENGKULU,PDBKIDJ1,1330012
res_bank_1250011,PT. BPD KALIMANTAN TENGAH,PDKGIDJ1,1250011
res_bank_1340015,PT. BPD SULAWESI TENGAH,PDWGIDJ1,1340015
res_bank_1350018,PT. BPD SULAWESI TENGGARA,PDWRIDJ1,1350018
res_bank_1270017,PT. BPD SULUT GORONTALO,PDWUIDJ1,1270017
res_bank_1200016,PT. BPD SUMSEL DAN BABEL,BSSPIDSP,1200016
res_bank_1209923,PT. BPD SUMSEL DAN BABEL UNIT USAHA SYARIAH,SYSSIDJ1,1209923
res_bank_8040000,PT. Espay Debit Indonesia Koe,DANAIDJ1,8040000
res_bank_0190017,PT. PANIN BANK Tbk.,PINBIDJA,0190017
res_bank_0289928,PT.BANK OCBC NISP TBK - UNIT USAHA SYARIAH,SYONIDJ1,0289928
res_bank_1129922,PT.BANK PEMBANGUNAN DAERAH DIY UNIT USAHA SYARIAH,SYYKIDJ1,1129922
res_bank_1150014,PT.BANK PEMBANGUNAN DAERAH JAMBI,PDJMIDJ1,1150014
res_bank_1230015,PT.BANK PEMBANGUNAN DAERAH KALBAR,PDKBIDJ1,1230015
res_bank_1239922,PT.BANK PEMBANGUNAN DAERAH KALBAR UUS,SYKBIDJ1,1239922
res_bank_1249925,PT.BANK PEMBANGUNAN DAERAH KALTIM DAN KALTARA-UNIT,SYKTIDJ1,1249925
res_bank_1210051,PT.BANK PEMBANGUNAN DAERAH LAMPUNG,PDLPIDJ1,1210051
res_bank_1310016,PT.BANK PEMBANGUNAN DAERAH MALUKU DAN MALUKU UTARA,PDMLIDJ1,1310016
res_bank_1300013,PT.BANK PEMBANGUNAN DAERAH NTT,PDNTIDJA,1300013
res_bank_1320019,PT.BANK PEMBANGUNAN DAERAH PAPUA,PDIJIDJ1,1320019
res_bank_0500306,STANDARD CHARTERED BANK,SCBLIDJX,0500306
