sku,tmpl_xid,size,inseam,gtin
000H000210XS,tmpl_000H0_0021,XS,,5401180413799
000H000210XXL,tmpl_000H0_0021,XXL,,5401180416554
000H000220L,tmpl_000H0_0022,L,,4550608776983
000H000220M,tmpl_000H0_0022,M,,4550608776990
000H000220S,tmpl_000H0_0022,S,,5401180413829
000H000220XL,tmpl_000H0_0022,XL,,4550608777010
000H000220XS,tmpl_000H0_0022,XS,,5401180413843
000H000220XXL,tmpl_000H0_0022,XXL,,5401180416561
000H000230L,tmpl_000H0_0023,L,,5401180413850
000H000230M,tmpl_000H0_0023,M,,5401180413867
000H000230S,tmpl_000H0_0023,S,,5401180413874
000H000230XL,tmpl_000H0_0023,XL,,4550608777065
000H000230XS,tmpl_000H0_0023,XS,,5401180413898
000H000230XXL,tmpl_000H0_0023,XXL,,5401180416578
000H000240L,tmpl_000H0_0024,L,,4550608777089
000H000240M,tmpl_000H0_0024,M,,5401180413911
000H000240S,tmpl_000H0_0024,S,,5401180413928
000H000240XL,tmpl_000H0_0024,XL,,4550608777119
000H000240XS,tmpl_000H0_0024,XS,,4550608777126
000H000240XXL,tmpl_000H0_0024,XXL,,5401180416585
000H000250L,tmpl_000H0_0025,L,,5401180413959
000H000250M,tmpl_000H0_0025,M,,4550608777140
000H000250S,tmpl_000H0_0025,S,,5401180413973
000H000250XL,tmpl_000H0_0025,XL,,4550608777164
000H000250XS,tmpl_000H0_0025,XS,,4550608777171
000H000250XXL,tmpl_000H0_0025,XXL,,5401180416592
000H000260L,tmpl_000H0_0026,L,,5401180414000
000H000260M,tmpl_000H0_0026,M,,5401180414017
000H000260S,tmpl_000H0_0026,S,,5401180414024
000H000260XL,tmpl_000H0_0026,XL,,5401180414031
000H000260XS,tmpl_000H0_0026,XS,,4550608777225
000H000260XXL,tmpl_000H0_0026,XXL,,5401180416608
000H000340L,tmpl_000H0_0034,L,,4550609980044
000H000340M,tmpl_000H0_0034,M,,4550609980051
000H000340S,tmpl_000H0_0034,S,,5401221188556
000H000340XL,tmpl_000H0_0034,XL,,4550609980075
000H000340XS,tmpl_000H0_0034,XS,,5401221188570
000H000350L,tmpl_000H0_0035,L,,4550609980136
000H000350M,tmpl_000H0_0035,M,,5401221188631
000H000350S,tmpl_000H0_0035,S,,4550609980150
000H000350XL,tmpl_000H0_0035,XL,,4550609980167
000H000350XS,tmpl_000H0_0035,XS,,4550609980174
000H000350XXL,tmpl_000H0_0035,XXL,,5401221188679
000H0003602XL,tmpl_000H0_0036,2XL,,4550703342939
000H0003603XL,tmpl_000H0_0036,3XL,,4550703342946
000H000360L,tmpl_000H0_0036,L,,5401221574908
000H000360M,tmpl_000H0_0036,M,,4550703342960
000H000360S,tmpl_000H0_0036,S,,4550703342977
000H000360XL,tmpl_000H0_0036,XL,,5401221574939
000H000360XS,tmpl_000H0_0036,XS,,5401221574946
000H000360XXL,tmpl_000H0_0036,XXL,,4550703343004
000H000360XXS,tmpl_000H0_0036,XXS,,4550703343011
000H0003702XL,tmpl_000H0_0037,2XL,,5401279146843
000H0003703XL,tmpl_000H0_0037,3XL,,4550703343035
000H000370L,tmpl_000H0_0037,L,,4550703343042
000H000370M,tmpl_000H0_0037,M,,4550703343059
000H000370S,tmpl_000H0_0037,S,,5401221575035
000H000370XL,tmpl_000H0_0037,XL,,5401221575042
000H000370XS,tmpl_000H0_0037,XS,,4550703343080
000H000370XXL,tmpl_000H0_0037,XXL,,4550703343097
000H000370XXS,tmpl_000H0_0037,XXS,,4550703343103
000H0003802XL,tmpl_000H0_0038,2XL,,5401279156606
000H0003803XL,tmpl_000H0_0038,3XL,,5401279156613
000H000380L,tmpl_000H0_0038,L,,5401221575127
000H000380M,tmpl_000H0_0038,M,,5401221575134
000H000380S,tmpl_000H0_0038,S,,4550703343158
000H000380XL,tmpl_000H0_0038,XL,,4550703343165
000H000380XS,tmpl_000H0_0038,XS,,5401221575165
000H000380XXL,tmpl_000H0_0038,XXL,,5401221575172
000H000380XXS,tmpl_000H0_0038,XXS,,5401279156620
000H0004502XL,tmpl_000H0_0045,2XL,,5401279000060
000H0004503XL,tmpl_000H0_0045,3XL,,5401279000077
000H000450L,tmpl_000H0_0045,L,,5401279000008
000H000450M,tmpl_000H0_0045,M,,4550703585848
000H000450S,tmpl_000H0_0045,S,,4550703585855
000H000450XL,tmpl_000H0_0045,XL,,4550703585862
000H000450XS,tmpl_000H0_0045,XS,,5401279000046
000H000450XXL,tmpl_000H0_0045,XXL,,4550703585886
000H000450XXS,tmpl_000H0_0045,XXS,,5401279000084
000H0004702XL,tmpl_000H0_0047,2XL,,5401279000664
000H0004703XL,tmpl_000H0_0047,3XL,,5401279000671
000H000470L,tmpl_000H0_0047,L,,5401279000602
000H000470M,tmpl_000H0_0047,M,,5401279000619
000H000470S,tmpl_000H0_0047,S,,5401279000626
000H000470XL,tmpl_000H0_0047,XL,,4550703585985
000H000470XS,tmpl_000H0_0047,XS,,4550703585992
000H000470XXL,tmpl_000H0_0047,XXL,,4550703586005
000H000470XXS,tmpl_000H0_0047,XXS,,5401279000688
000H0004802XL,tmpl_000H0_0048,2XL,,5401279000367
000H0004803XL,tmpl_000H0_0048,3XL,,5401279000374
000H000480L,tmpl_000H0_0048,L,,4550703585893
000H000480M,tmpl_000H0_0048,M,,5401279000312
000H000480S,tmpl_000H0_0048,S,,4550703585916
000H000480XL,tmpl_000H0_0048,XL,,4550703585923
000H000480XS,tmpl_000H0_0048,XS,,5401279000343
000H000480XXL,tmpl_000H0_0048,XXL,,5401279000350
000H000480XXS,tmpl_000H0_0048,XXS,,5401279000381
000I600000100,tmpl_000I6_0000,100,,5401180141777
000I600000105,tmpl_000I6_0000,105,,4550608558091
000I600000110,tmpl_000I6_0000,110,,5401180144198
000I600000115,tmpl_000I6_0000,115,,5401180549832
000I600000120,tmpl_000I6_0000,120,,5401180549849
000I60000028,tmpl_000I6_0000,28,,5401270789315
000I60000030,tmpl_000I6_0000,30,,5401270789322
000I60000032,tmpl_000I6_0000,32,,4550703337867
000I60000034,tmpl_000I6_0000,34,,4550703337874
000I60000036,tmpl_000I6_0000,36,,4550703337881
000I60000038,tmpl_000I6_0000,38,,5401270789360
000I60000040,tmpl_000I6_0000,40,,5401270789377
000I60000042,tmpl_000I6_0000,42,,5401270789384
000I60000044,tmpl_000I6_0000,44,,4550703337928
000I60000046,tmpl_000I6_0000,46,,4550703337935
000I60000048,tmpl_000I6_0000,48,,5401270790212
000I60000070,tmpl_000I6_0000,70,,4550608558138
000I60000075,tmpl_000I6_0000,75,,4550608558145
000I60000080,tmpl_000I6_0000,80,,4550608558152
000I60000085,tmpl_000I6_0000,85,,4550608558169
000I60000090,tmpl_000I6_0000,90,,5401180144228
000I60000095,tmpl_000I6_0000,95,,4550608558183
000I600010100,tmpl_000I6_0001,100,,4550608558190
000I600010105,tmpl_000I6_0001,105,,5401180144235
000I600010110,tmpl_000I6_0001,110,,5401180144242
000I600010115,tmpl_000I6_0001,115,,5401180549856
000I600010120,tmpl_000I6_0001,120,,4550608558237
000I60001075,tmpl_000I6_0001,75,,5401180144266
000I60001080,tmpl_000I6_0001,80,,5401180144273
000I60001085,tmpl_000I6_0001,85,,5401180144280
000I60001090,tmpl_000I6_0001,90,,4550608558282
000I60001095,tmpl_000I6_0001,95,,4550608558299
000IC00000OS,tmpl_000IC_0000,OS,,4550608558749
000IC00010OS,tmpl_000IC_0001,OS,,5401180135820
000ID00000100,tmpl_000ID_0000,100,,5401180141821
000ID00000105,tmpl_000ID_0000,105,,4550608558770
000ID00000110,tmpl_000ID_0000,110,,4550608558787
000ID0000095,tmpl_000ID_0000,95,,4550608558862
000ID00010100,tmpl_000ID_0001,100,,5401180559206
000ID00010105,tmpl_000ID_0001,105,,5401180559213
000ID00010110,tmpl_000ID_0001,110,,4550608558893
000ID00010115,tmpl_000ID_0001,115,,4550608558909
000ID0001095,tmpl_000ID_0001,95,,4550608558978
000IH00000100,tmpl_000IH_0000,100,,4550608559203
000IH00000105,tmpl_000IH_0000,105,,4550608559210
000IH00000110,tmpl_000IH_0000,110,,4550608559227
000IH0000060,tmpl_000IH_0000,60,,5401221845350
000IH0000065,tmpl_000IH_0000,65,,4550608559241
000IH0000070,tmpl_000IH_0000,70,,5401180144419
000IH0000075,tmpl_000IH_0000,75,,5401180144426
000IH0000080,tmpl_000IH_0000,80,,5401180144433
000IH0000085,tmpl_000IH_0000,85,,5401180144440
000IH0000090,tmpl_000IH_0000,90,,4550608559296
000IH0000095,tmpl_000IH_0000,95,,5401180144464
000IH00010100,tmpl_000IH_0001,100,,5401180144471
000IH00010105,tmpl_000IH_0001,105,,5401180144488
000IH00010110,tmpl_000IH_0001,110,,4550608559333
000IH0001060,tmpl_000IH_0001,60,,5401221845374
000IH0001065,tmpl_000IH_0001,65,,4550608559357
000IH0001070,tmpl_000IH_0001,70,,5401180144501
000IH0001075,tmpl_000IH_0001,75,,5401180144518
000IH0001080,tmpl_000IH_0001,80,,5401180144525
000IH0001085,tmpl_000IH_0001,85,,4550608559395
000IH0001090,tmpl_000IH_0001,90,,4550608559401
000IH0001095,tmpl_000IH_0001,95,,4550608559418
000II00000100,tmpl_000II_0000,100,,5401180142446
000II00000105,tmpl_000II_0000,105,,5401180142453
000II00000110,tmpl_000II_0000,110,,5401180142460
000II0000080,tmpl_000II_0000,80,,5401180142477
000II0000085,tmpl_000II_0000,85,,5401180142484
000II0000090,tmpl_000II_0000,90,,5401180142491
000II0000095,tmpl_000II_0000,95,,5401180142507
000IJ00000100,tmpl_000IJ_0000,100,,5401180142514
000IJ00000105,tmpl_000IJ_0000,105,,5401180142521
000IJ00000110,tmpl_000IJ_0000,110,,5401180142538
000IJ0000080,tmpl_000IJ_0000,80,,5401180142545
000IJ0000085,tmpl_000IJ_0000,85,,5401180142552
000IJ0000090,tmpl_000IJ_0000,90,,5401180142569
000IJ0000095,tmpl_000IJ_0000,95,,5401180142576
000IJ00010100,tmpl_000IJ_0001,100,,5401180142583
000IJ00010105,tmpl_000IJ_0001,105,,5401180142590
000IJ00010110,tmpl_000IJ_0001,110,,5401180142606
000IJ0001080,tmpl_000IJ_0001,80,,5401180142613
000IJ0001085,tmpl_000IJ_0001,85,,5401180142620
000IJ0001090,tmpl_000IJ_0001,90,,5401180142637
000IJ0001095,tmpl_000IJ_0001,95,,5401180142644
000IL0003080,tmpl_000IL_0003,80,,4550609890770
000IL0003085,tmpl_000IL_0003,85,,5401221188686
000IL0003090,tmpl_000IL_0003,90,,4550609890794
000IL0003095,tmpl_000IL_0003,95,,4550609890800
000IN00030OS,tmpl_000IN_0003,OS,,4550608559654
000IN00040OS,tmpl_000IN_0004,OS,,4550609898943
000IO00000OS,tmpl_000IO_0000,OS,,5401180139323
000IO00010OS,tmpl_000IO_0001,OS,,5401180139330
000IO00020OS,tmpl_000IO_0002,OS,,5401180142682
000IP00000OS,tmpl_000IP_0000,OS,,4550608559661
000IP00010OS,tmpl_000IP_0001,OS,,4550608559678
000IP00020OS,tmpl_000IP_0002,OS,,5401180559336
000IP00030OS,tmpl_000IP_0003,OS,,4550609900981
000IQ00010OS,tmpl_000IQ_0001,OS,,5401180142699
000IQ00060OS,tmpl_000IQ_0006,OS,,5401180142705
000IQ00070OS,tmpl_000IQ_0007,OS,,5401180139347
000IR00000OS,tmpl_000IR_0000,OS,,5401180144679
000IV00000OS,tmpl_000IV_0000,OS,,4550608559715
000IV00010OS,tmpl_000IV_0001,OS,,4550608559722
000IV00020OS,tmpl_000IV_0002,OS,,4550609193123
000IZ00000100,tmpl_000IZ_0000,100,,5401180144709
000IZ00000105,tmpl_000IZ_0000,105,,4550608559753
000IZ00000110,tmpl_000IZ_0000,110,,4550608559760
000IZ0000065,tmpl_000IZ_0000,65,,5401180099757
000IZ0000070,tmpl_000IZ_0000,70,,5401180099764
000IZ0000075,tmpl_000IZ_0000,75,,5401180099771
000IZ0000080,tmpl_000IZ_0000,80,,5401180099788
000IZ0000085,tmpl_000IZ_0000,85,,5401180099795
000IZ0000090,tmpl_000IZ_0000,90,,5401180144730
000IZ0000095,tmpl_000IZ_0000,95,,4550608559845
000IZ00010100,tmpl_000IZ_0001,100,,5401180144754
000IZ00010105,tmpl_000IZ_0001,105,,4550608559869
000IZ00010110,tmpl_000IZ_0001,110,,4550608559876
000IZ0001070,tmpl_000IZ_0001,70,,5401180144785
000IZ0001075,tmpl_000IZ_0001,75,,4550608559913
000IZ0001080,tmpl_000IZ_0001,80,,4550608559920
000IZ0001085,tmpl_000IZ_0001,85,,4550608559937
000IZ0001090,tmpl_000IZ_0001,90,,5401180144822
000IZ0001095,tmpl_000IZ_0001,95,,5401180144839
000J000010OS,tmpl_000J0_0001,OS,,4550608559968
