tmpl_xid,attribute,value
tmpl_000I6_0000,Size,100
tmpl_000I6_0000,Size,105
tmpl_000I6_0000,Size,110
tmpl_000I6_0000,Size,115
tmpl_000I6_0000,Size,120
tmpl_000I6_0000,Size,28
tmpl_000I6_0000,Size,30
tmpl_000I6_0000,Size,32
tmpl_000I6_0000,Size,34
tmpl_000I6_0000,Size,36
tmpl_000I6_0000,Size,38
tmpl_000I6_0000,Size,40
tmpl_000I6_0000,Size,42
tmpl_000I6_0000,Size,44
tmpl_000I6_0000,Size,46
tmpl_000I6_0000,Size,48
tmpl_000I6_0000,Size,70
tmpl_000I6_0000,Size,75
tmpl_000I6_0000,Size,80
tmpl_000I6_0000,Size,85
tmpl_000I6_0000,Size,90
tmpl_000I6_0000,Size,95
tmpl_000I6_0001,Size,100
tmpl_000I6_0001,Size,105
tmpl_000I6_0001,Size,110
tmpl_000I6_0001,Size,115
tmpl_000I6_0001,Size,120
tmpl_000I6_0001,Size,75
tmpl_000I6_0001,Size,80
tmpl_000I6_0001,Size,85
tmpl_000I6_0001,Size,90
tmpl_000I6_0001,Size,95
tmpl_000IC_0000,Size,OS
tmpl_000IC_0001,Size,OS
tmpl_000ID_0000,Size,100
tmpl_000ID_0000,Size,105
tmpl_000ID_0000,Size,110
tmpl_000ID_0000,Size,95
tmpl_000ID_0001,Size,100
tmpl_000ID_0001,Size,105
tmpl_000ID_0001,Size,110
tmpl_000ID_0001,Size,115
tmpl_000ID_0001,Size,95
tmpl_000IH_0000,Size,100
tmpl_000IH_0000,Size,105
tmpl_000IH_0000,Size,110
tmpl_000IH_0000,Size,60
tmpl_000IH_0000,Size,65
tmpl_000IH_0000,Size,70
tmpl_000IH_0000,Size,75
tmpl_000IH_0000,Size,80
tmpl_000IH_0000,Size,85
tmpl_000IH_0000,Size,90
tmpl_000IH_0000,Size,95
tmpl_000IH_0001,Size,100
tmpl_000IH_0001,Size,105
tmpl_000IH_0001,Size,110
tmpl_000IH_0001,Size,60
tmpl_000IH_0001,Size,65
tmpl_000IH_0001,Size,70
tmpl_000IH_0001,Size,75
tmpl_000IH_0001,Size,80
tmpl_000IH_0001,Size,85
tmpl_000IH_0001,Size,90
tmpl_000IH_0001,Size,95
tmpl_000II_0000,Size,100
tmpl_000II_0000,Size,105
tmpl_000II_0000,Size,110
tmpl_000II_0000,Size,80
tmpl_000II_0000,Size,85
tmpl_000II_0000,Size,90
tmpl_000II_0000,Size,95
tmpl_000IJ_0000,Size,100
tmpl_000IJ_0000,Size,105
tmpl_000IJ_0000,Size,110
tmpl_000IJ_0000,Size,80
tmpl_000IJ_0000,Size,85
tmpl_000IJ_0000,Size,90
tmpl_000IJ_0000,Size,95
tmpl_000IJ_0001,Size,100
tmpl_000IJ_0001,Size,105
tmpl_000IJ_0001,Size,110
tmpl_000IJ_0001,Size,80
tmpl_000IJ_0001,Size,85
tmpl_000IJ_0001,Size,90
tmpl_000IJ_0001,Size,95
tmpl_000IL_0003,Size,80
tmpl_000IL_0003,Size,85
tmpl_000IL_0003,Size,90
tmpl_000IL_0003,Size,95
tmpl_000IN_0003,Size,OS
tmpl_000IN_0004,Size,OS
tmpl_000IO_0000,Size,OS
tmpl_000IO_0001,Size,OS
tmpl_000IO_0002,Size,OS
tmpl_000IP_0000,Size,OS
tmpl_000IP_0001,Size,OS
tmpl_000IP_0002,Size,OS
tmpl_000IP_0003,Size,OS
tmpl_000IQ_0001,Size,OS
tmpl_000IQ_0006,Size,OS
tmpl_000IQ_0007,Size,OS
tmpl_000IR_0000,Size,OS
tmpl_000IV_0000,Size,OS
tmpl_000IV_0001,Size,OS
tmpl_000IV_0002,Size,OS
tmpl_000IZ_0000,Size,100
tmpl_000IZ_0000,Size,105
tmpl_000IZ_0000,Size,110
tmpl_000IZ_0000,Size,65
tmpl_000IZ_0000,Size,70
tmpl_000IZ_0000,Size,75
tmpl_000IZ_0000,Size,80
tmpl_000IZ_0000,Size,85
tmpl_000IZ_0000,Size,90
tmpl_000IZ_0000,Size,95
tmpl_000IZ_0001,Size,100
tmpl_000IZ_0001,Size,105
tmpl_000IZ_0001,Size,110
tmpl_000IZ_0001,Size,70
tmpl_000IZ_0001,Size,75
tmpl_000IZ_0001,Size,80
tmpl_000IZ_0001,Size,85
tmpl_000IZ_0001,Size,90
tmpl_000IZ_0001,Size,95
tmpl_000J0_0001,Size,OS
tmpl_000J0_0002,Size,OS
tmpl_000J5_0001,Size,OS
tmpl_000J5_0002,Size,OS
tmpl_000J5_0003,Size,OS
tmpl_000JA_0000,Size,OS
tmpl_000JC_0002,Size,OS
tmpl_000JC_0003,Size,OS
tmpl_000JK_0000,Size,OS
tmpl_000JK_0001,Size,OS
tmpl_000KK_0000,Size,L
tmpl_000KK_0000,Size,M
tmpl_000KK_0000,Size,S
tmpl_000KK_0000,Size,XL
tmpl_000KK_0000,Size,XS
tmpl_000KK_0000,Size,XXS
tmpl_000KK_0001,Size,L
tmpl_000KK_0001,Size,M
tmpl_000KK_0001,Size,S
tmpl_000KK_0001,Size,XL
tmpl_000KK_0001,Size,XS
tmpl_000KK_0001,Size,XXS
tmpl_000KK_0007,Size,L
tmpl_000KK_0007,Size,M
tmpl_000KK_0007,Size,S
tmpl_000KK_0007,Size,XL
tmpl_000KK_0007,Size,XS
tmpl_000KK_0010,Size,L
tmpl_000KK_0010,Size,M
tmpl_000KK_0010,Size,S
tmpl_000KK_0010,Size,XL
tmpl_000KK_0010,Size,XS
tmpl_000KK_0012,Size,L
tmpl_000KK_0012,Size,M
tmpl_000KK_0012,Size,S
tmpl_000KK_0012,Size,XS
