code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS-AIM-0106,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0107,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0108,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0109,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0110,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0111,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0112,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0113,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0114,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0115,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0116,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0117,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0118,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0119,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0120,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0121,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0122,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0123,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0124,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0125,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0126,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0127,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
